window,contract_number,build_id,build_label,samples,wins,win_rate,avg_damage,damage_variance,avg_dps,dps_variance,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
generated_duration,8,shadow,Shadow,80,0,0.0,1159.575,150279.9694,26.3509,31.3429,442.3809,-416.03,-7900.2,83.3727,60.6566,40.956,0.0,2.9125,0.0,0.0
fixed_30s,8,thief,Thief,80,0,0.0,707.2,158951.96,23.5733,176.6133,442.3809,-418.8076,-8352.575,66.0659,0.0,37.5258,0.0,1.6625,2.4625,0.0
generated_duration,8,thief,Thief,80,0,0.0,1036.2125,423810.8173,23.6466,176.5687,442.3809,-418.7343,-8023.5625,97.2527,0.0,44.7513,0.0,2.4375,3.675,0.0
fixed_30s,9,assassin,Assassin,80,0,0.0,811.3,58968.335,27.0433,65.5204,759.1021,-732.0587,-13593.425,40.0411,65.9604,15.3957,0.0,1.3,1.0,0.0
generated_duration,9,assassin,Assassin,80,0,0.0,1134.55,175133.9225,26.8245,65.6821,759.1021,-732.2776,-13270.175,60.0931,89.0346,27.7228,0.0,1.9625,1.7625,0.0
fixed_30s,9,blade_dancer,Blade Dancer,80,0,0.0,701.1,80643.315,23.37,89.6037,759.1021,-735.7321,-13703.625,117.906,0.0,36.8792,0.0,3.6625,0.0,0.0
generated_duration,9,blade_dancer,Blade Dancer,80,0,0.0,1015.7875,188346.6673,24.2097,92.4723,759.1021,-734.8923,-13388.9375,165.2832,0.0,60.6695,0.0,5.5875,0.0,0.0
fixed_30s,9,shadow,Shadow,80,0,0.0,721.7,23433.135,24.0567,26.0368,759.1021,-735.0454,-13683.025,67.285,32.565,29.6785,0.0,2.0375,0.0,0.0
generated_duration,9,shadow,Shadow,80,0,0.0,1060.5,121184.475,24.9858,34.0655,759.1021,-734.1162,-13344.225,96.0433,44.395,33.5997,0.0,3.1375,0.0,0.0
fixed_30s,9,thief,Thief,80,0,0.0,669.1125,152536.6498,22.3038,169.4852,759.1021,-736.7983,-13735.6125,78.1632,0.0,27.1382,0.0,1.7375,2.525,0.0
generated_duration,9,thief,Thief,80,0,0.0,936.025,359726.6744,22.5429,188.0598,759.1021,-736.5592,-13468.7,112.2507,0.0,42.656,0.0,2.525,4.0125,0.0
fixed_30s,10,assassin,Assassin,80,0,0.0,801.05,51612.4725,26.7017,57.3472,946.7684,-920.0668,-17795.5125,35.0652,73.775,14.5883,0.0,1.2625,1.15,0.0
generated_duration,10,assassin,Assassin,80,0,0.0,1162.875,198824.2094,26.9556,58.4794,946.7684,-919.8129,-17433.6875,53.6368,114.675,21.7714,0.0,1.725,1.675,0.0
fixed_30s,10,blade_dancer,Blade Dancer,80,0,0.0,722.65,82631.3775,24.0883,91.8126,946.7684,-922.6801,-17873.9125,98.9617,0.0,40.2203,0.0,3.625,0.0,0.0
generated_duration,10,blade_dancer,Blade Dancer,80,0,0.0,1090.625,292929.8594,24.8305,88.4176,946.7684,-921.938,-17505.9375,145.733,0.0,66.5085,0.0,4.925,0.0,0.0
fixed_30s,10,shadow,Shadow,80,0,0.0,764.3125,27514.4398,25.4771,30.5716,946.7684,-921.2913,-17832.25,58.9182,38.7124,26.076,0.0,2.0625,0.0,0.0
generated_duration,10,shadow,Shadow,80,0,0.0,1127.2125,151830.6923,26.0723,35.3623,946.7684,-920.6961,-17469.35,85.1005,60.0893,48.5965,0.0,2.825,0.0,0.0
